Response Codes - Server Error (5xx)
"Address","Content","Status Code","Status","Redirect URI",
"http://www.happy-giraffe.ru/user/10175/blog/","","500","PHP Error","",
"http://www.happy-giraffe.ru/user/12538/blog/post18860/","","500","PHP Error","",
"http://www.happy-giraffe.ru/user/12151/blog/","","500","PHP Error","",
"http://www.happy-giraffe.ru/user/12151/blog/post14450/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/4932/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/7119/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/6938/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/4298/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/?CommunityContent_page=15","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/4940/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/4941/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/?CommunityContent_page=14","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13650/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13646/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13645/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13644/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13642/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/rubric/288/video/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13641/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/17249/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13640/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/17246/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13648/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13647/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/14753/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/14754/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/14755/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/17034/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/24429/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/21609/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13660/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/18093/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13661/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/video/21103/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/8949/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/rubric/291/video/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/15070/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13656/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13655/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/9520/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/8947/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13658/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/8948/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13652/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13654/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/13653/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/9514/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/8941/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/rubric/289/video/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/9512/","","500","PHP Error","",
"http://www.happy-giraffe.ru/community/33/forum/post/19458/","","500","PHP Error","",
